Date,Amount,Category,Description,PaymentMethod
2025-04-14,341.7,Gift,Wedding Gift,Manual
2025-04-14,81.78,Gift,Chocolates,Manual
2025-04-14,486.09,Gift,Chocolates,Manual
2025-04-14,674.72,Gift,Perfume,Manual
2025-04-14,589.39,Gift,Chocolates,Manual
2025-04-14,935.76,Gift,Anniversary Gift,Manual
2025-04-14,574.18,Gift,Anniversary Gift,Manual
2025-04-14,1921.08,Housing,Electricity Bill,Manual
2025-04-14,2129.43,Housing,Smart Lock,Manual
2025-04-14,829.29,Housing,Furniture,Manual
2025-04-14,721.22,Housing,Home Decor,Manual
2025-04-14,484.17,Housing,Internet Fee,Manual
2025-04-14,2033.99,Housing,Smart Lock,Manual
2025-04-14,1403.79,Housing,Furniture,Manual
2025-04-14,468.69,Housing,Furniture,Manual
2025-04-14,2250.56,Housing,Electricity Bill,Manual
2025-04-14,1734.52,Housing,Internet Fee,Manual
2025-04-14,2483.74,Housing,Furniture,Manual
2025-04-14,1565.43,Housing,Rent,Manual
2025-04-14,2126.16,Housing,Internet Fee,Manual
2025-04-14,999.93,Housing,Furniture,Manual
2025-04-14,2215.76,Housing,Electricity Bill,Manual
2025-04-14,777.82,Finance,Stock Purchase,Manual
2025-04-14,2396.02,Finance,Insurance,Manual
2025-04-14,2252.59,Finance,Loan Payment,Manual
2025-04-14,2660.0,Finance,Stock Purchase,Manual
2025-04-14,199.21,Finance,Stock Purchase,Manual
2025-04-14,3805.43,Finance,Tax,Manual
2025-04-14,3375.04,Finance,Stock Purchase,Manual
2025-04-14,1568.2,Finance,Loan Payment,Manual
2025-04-14,2886.02,Finance,Bank Fee,Manual
2025-04-14,3665.51,Finance,Tax,Manual
2025-04-14,2985.91,Finance,Stock Purchase,Manual
2025-04-14,4739.59,Finance,Mutual Fund,Manual
2025-04-14,2609.37,Finance,Loan Payment,Manual
2025-04-14,247.87,Finance,Bank Fee,Manual
2025-04-14,3718.47,Finance,Mutual Fund,Manual
